利用日,注文ID,利用項目,備考,金額（税抜き）,消費税,金額（税込）
2022/06/27,az-market-10111412,PayPayあと払い決済金額,,3830,0,3830
2022/06/27,az-market-10111409,PayPay決済金額,,118,0,118
2022/06/27,az-market-10111405,カード決済金額,,6051,0,6051
2022/06/27,az-market-10111396,PayPay決済金額,,490,0,490
2022/06/27,az-market-10111396,ワイジェイカード・PayPayカード決済金額,,2000,0,2000
2022/06/27,az-market-10111395,カード決済金額,,563,0,563
2022/06/27,az-market-10111382,ワイジェイカード・PayPayカード決済金額,,2490,0,2490
2022/06/27,az-market-10111380,PayPay決済金額,,7260,0,7260
2022/06/27,az-market-10111409,ワイジェイカード・PayPayカード決済金額,,4312,0,4312
2022/06/27,az-market-10111386,ワイジェイカード・PayPayカード決済金額,,3880,0,3880
2022/06/27,az-market-10111374,カード決済金額,,4980,0,4980
2022/06/27,az-market-10111369,PayPay決済金額,,1208,0,1208
2022/06/27,az-market-10111124,PayPay決済金額,,6480,0,6480
2022/06/27,az-market-10111407,PayPay決済金額,,8310,0,8310
2022/06/27,az-market-10111404,PayPay決済金額,,3980,0,3980
2022/06/27,az-market-10111402,PayPay決済金額,,1517,0,1517
2022/06/27,az-market-10111400,ワイジェイカード・PayPayカード決済金額,,4680,0,4680
2022/06/27,az-market-10111394,PayPayあと払い決済金額,,2490,0,2490
2022/06/27,az-market-10111393,PayPayあと払い決済金額,,2017,0,2017
2022/06/27,az-market-10111392,PayPay決済金額,,3780,0,3780
2022/06/27,az-market-10111385,ワイジェイカード・PayPayカード決済金額,,3880,0,3880
2022/06/27,az-market-10111384,PayPay決済金額,,1280,0,1280
2022/06/27,az-market-10111381,PayPayあと払い決済金額,,4034,0,4034
2022/06/27,az-market-10111379,PayPay決済金額,,44000,0,44000
2022/06/27,az-market-10111378,PayPay決済金額,,3480,0,3480
2022/06/27,az-market-10111376,PayPay決済金額,,4280,0,4280
2022/06/27,az-market-10111375,PayPayあと払い決済金額,,7090,0,7090
2022/06/27,az-market-10111367,ワイジェイカード・PayPayカード決済金額,,2490,0,2490
2022/06/27,az-market-10111365,PayPayあと払い決済金額,,2490,0,2490
2022/06/27,az-market-10111361,カード決済金額,,7760,0,7760
2022/06/27,az-market-10109695,ワイジェイカード・PayPayカード決済金額,,4980,0,4980
2022/06/27,az-market-10111581,PayPay決済金額,,2690,0,2690
2022/06/27,az-market-10111575,ワイジェイカード・PayPayカード決済金額,,4280,0,4280
2022/06/27,az-market-10111573,ワイジェイカード・PayPayカード決済金額,,3780,0,3780
2022/06/27,az-market-10111569,ワイジェイカード・PayPayカード決済金額,,2490,0,2490
2022/06/27,az-market-10111558,PayPay決済金額,,3036,0,3036
2022/06/27,az-market-10111460,特典の一部利用料,,271,0,271
2022/06/27,az-market-10111564,モールクーポン利用料,,1500,0,1500
2022/06/27,az-market-10111442,モールクーポン利用料,,500,0,500
2022/06/27,az-market-10111503,モールクーポン利用料,,500,0,500
2022/06/27,az-market-10111387,モールクーポン利用料,,500,0,500
2022/06/27,az-market-10111581,モールクーポン利用料,,500,0,500
2022/06/27,az-market-10111467,モールクーポン利用料,,2750,0,2750
2022/06/27,az-market-10111590,モールクーポン利用料,,1500,0,1500
2022/06/27,az-market-10111402,モールクーポン利用料,,500,0,500
2022/06/27,az-market-10111544,モールクーポン利用料,,2200,0,2200
2022/06/27,az-market-10111480,モールクーポン利用料,,567,0,567
2022/06/27,az-market-10111376,モールクーポン利用料,,500,0,500
2022/06/27,az-market-10111364,モールクーポン利用料,,957,0,957
2022/06/27,az-market-10111432,モールクーポン利用料,,500,0,500
2022/06/27,az-market-10111461,モールクーポン利用料,,500,0,500
2022/06/24,az-market-10111353,PayPay決済金額,,3080,0,3080
2022/06/24,az-market-10111350,PayPay決済金額,,2506,0,2506
2022/06/24,az-market-10111344,カード決済金額,,2490,0,2490
2022/06/24,az-market-10111338,カード決済金額,,2490,0,2490
2022/06/24,az-market-10111321,ワイジェイカード・PayPayカード決済金額,,7560,0,7560
2022/06/24,az-market-10111356,PayPay決済金額,,349,0,349
2022/06/24,az-market-10111348,ゆっくり払い決済金額,,2480,0,2480
2022/06/24,az-market-10111343,PayPay決済金額,,5460,0,5460
2022/06/24,az-market-10111340,PayPay決済金額,,2017,0,2017
2022/06/24,az-market-10111357,PayPay決済金額,,521,0,521
2022/06/24,az-market-10111352,ワイジェイカード・PayPayカード決済金額,,2758,0,2758
2022/06/24,az-market-10111352,PayPay決済金額,,1122,0,1122
2022/06/24,az-market-10111351,カード決済金額,,4280,0,4280
2022/06/24,az-market-10111345,PayPay決済金額,,2017,0,2017
2022/06/24,az-market-10111358,カード決済金額,,2490,0,2490
2022/06/24,az-market-10111357,ワイジェイカード・PayPayカード決済金額,,10279,0,10279
2022/06/24,az-market-10111356,カード決済金額,,4069,0,4069
2022/06/24,az-market-10111355,PayPay決済金額,,2490,0,2490
2022/06/24,az-market-10111350,ワイジェイカード・PayPayカード決済金額,,3452,0,3452
2022/06/24,az-market-10111347,カード決済金額,,2017,0,2017
2022/06/24,az-market-10111341,PayPay決済金額,,2979,0,2979
2022/06/24,az-market-10111339,ワイジェイカード・PayPayカード決済金額,,2017,0,2017
2022/06/24,az-market-10111337,PayPay決済金額,,3803,0,3803
2022/06/24,az-market-10111346,ワイジェイカード・PayPayカード決済金額,,2017,0,2017
2022/06/24,az-market-10111356,特典の一部利用料,,11,1,12
2022/06/24,az-market-10111337,特典の一部利用料,,70,7,77
2022/06/24,az-market-10111348,モールクーポン利用料,,1500,0,1500
2022/06/24,az-market-10111343,モールクーポン利用料,,1500,0,1500
2022/06/23,az-market-10111331,PayPay決済金額,,5280,0,5280
2022/06/23,az-market-10111329,カード決済金額,,1280,0,1280
2022/06/23,az-market-10111322,カード決済金額,,3019,0,3019
2022/06/23,az-market-10111322,PayPay決済金額,,761,0,761
2022/06/23,az-market-10111313,カード決済金額,,3190,0,3190
2022/06/23,az-market-10111309,PayPay決済金額,,3880,0,3880
2022/06/23,az-market-10111308,PayPay決済金額,,2490,0,2490
2022/06/23,az-market-10111206,PayPay決済金額,,3880,0,3880
2022/06/23,az-market-10110792,ワイジェイカード・PayPayカード決済金額,,49160,0,49160
2022/06/23,az-market-10111335,PayPay決済金額,,415,0,415
